Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSMUSG00000076612	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	6.3	0.00000895810056144328	
ENSMUSG00000076615	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	5.8	0.000032212678883105	
ENSMUSG00000076612	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	5.5	0.00630921784058514	
ENSMUSG00000076615	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	4.7	0.0191786273685704	
ENSMUSG00000096464	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	3.5	0.000163926876148159	
ENSMUSG00000030144	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	3.3	0.000052362529515335	
ENSMUSG00000095642	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	3.3	0.0197386950374731	
ENSMUSG00000095285	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	3	0.0249393751092297	
ENSMUSG00000095200	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	2.9	0.000767790581632965	
ENSMUSG00000095571	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	2.9	0.0026716610286359	
ENSMUSG00000067149	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	2.9	0.0158236380973453	
ENSMUSG00000105906	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	2.9	0.0252768901787659	
ENSMUSG00000095612	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	2.9	0.0292423669009765	
ENSMUSG00000094088	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	2.8	0.000677000213839832	
ENSMUSG00000095200	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'vaccination'	2.8	0.0227978514659986	
ENSMUSG00000105906	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	2.7	0.000142586948502372	
ENSMUSG00000076674	mus musculus	E-MTAB-4791	'Plasmodium chabaudi infection' vs 'no infection' in 'adjuvant only'	2.7	0.000297485130504221	
