#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P01100	uniprotkb:Q5VV63	intact:EBI-852851|uniprotkb:P18849|uniprotkb:A8K4E2|uniprotkb:B4DQ65	intact:EBI-2682407|uniprotkb:Q6ZSN4|uniprotkb:Q6T256|uniprotkb:Q5JSE8|uniprotkb:Q86WX2|uniprotkb:O60283|uniprotkb:Q5T5Y9	psi-mi:fos_human(display_long)|uniprotkb:Cellular oncogene fos(gene name synonym)|uniprotkb:G0/G1 switch regulatory protein 7(gene name synonym)|uniprotkb:FOS(gene name)|psi-mi:FOS(display_short)|uniprotkb:G0S7(gene name synonym)	psi-mi:atrn1_human(display_long)|uniprotkb:ATRNL1(gene name)|psi-mi:ATRNL1(display_short)|uniprotkb:KIAA0534(gene name synonym)	psi-mi:"MI:0034"(display technology)	Miyamoto-Sato et al. (2010)	pubmed:20195357|imex:IM-20475	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2682418|imex:IM-20475-193	author score:class2|intact-miscore:0.40
uniprotkb:Q7CHR0	uniprotkb:O75882	intact:EBI-2853517|uniprotkb:Q74VA6	intact:EBI-2115457|uniprotkb:O60295|uniprotkb:O95414|uniprotkb:Q3MIT3|uniprotkb:Q5TDA2|uniprotkb:Q5TDA4|uniprotkb:Q5VYW3|uniprotkb:Q9NTQ3|uniprotkb:Q9NTQ4|uniprotkb:Q9NU01|uniprotkb:Q9NZ57|uniprotkb:Q9NZ58|uniprotkb:Q9UDF5|uniprotkb:A8KAE5|uniprotkb:Q9UC75	psi-mi:q7chr0_yerpe(display_long)|uniprotkb:YPO1517(locus name)	psi-mi:atrn_human(display_long)|uniprotkb:ATRN(gene name)|psi-mi:ATRN(display_short)|uniprotkb:KIAA0548(gene name synonym)|uniprotkb:MGCA(gene name synonym)|uniprotkb:Mahogany homolog(gene name synonym)|uniprotkb:DPPT-L(gene name synonym)	psi-mi:"MI:0398"(two hybrid pooling approach)	Dyer et al. (2010)	pubmed:20711500|imex:IM-13779	taxid:632(yerpe)|taxid:632(Yersinia pestis)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2875434|imex:IM-13779-8276	author score:1|intact-miscore:0.37
uniprotkb:Q83DF6	uniprotkb:Q5VV63	intact:EBI-21285191	intact:EBI-2682407|uniprotkb:Q6ZSN4|uniprotkb:Q6T256|uniprotkb:Q5JSE8|uniprotkb:Q86WX2|uniprotkb:O60283|uniprotkb:Q5T5Y9	psi-mi:y781_coxbu(display_long)|uniprotkb:CBU_0781(locus name)	psi-mi:atrn1_human(display_long)|uniprotkb:ATRNL1(gene name)|psi-mi:ATRNL1(display_short)|uniprotkb:KIAA0534(gene name synonym)	psi-mi:"MI:0398"(two hybrid pooling approach)	Wallqvist et al. (2016)	imex:IM-26899|doi:10.1371/journal.pone.0188071|pubmed:29176882	taxid:227377(coxbu)|taxid:227377("Coxiella burnetii (strain RSA 493 / Nine Mile phase I)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-21285218|imex:IM-26899-329	intact-miscore:0.37
uniprotkb:Q00839	uniprotkb:Q5VV63	intact:EBI-351126|uniprotkb:Q96HY9|uniprotkb:Q9BQ09|uniprotkb:O75507|uniprotkb:Q8N174	intact:EBI-2682407|uniprotkb:Q6ZSN4|uniprotkb:Q6T256|uniprotkb:Q5JSE8|uniprotkb:Q86WX2|uniprotkb:O60283|uniprotkb:Q5T5Y9	psi-mi:hnrpu_human(display_long)|uniprotkb:C1orf199(gene name synonym)|uniprotkb:GRIP120(gene name synonym)|uniprotkb:Nuclear p120 ribonucleoprotein(gene name synonym)|uniprotkb:Scaffold-attachment factor A(gene name synonym)|uniprotkb:HNRNPU(gene name)|psi-mi:HNRNPU(display_short)|uniprotkb:SAFA(gene name synonym)|uniprotkb:U21.1(gene name synonym)|uniprotkb:HNRPU(gene name synonym)|uniprotkb:p120(gene name synonym)|uniprotkb:pp120(gene name synonym)	psi-mi:atrn1_human(display_long)|uniprotkb:ATRNL1(gene name)|psi-mi:ATRNL1(display_short)|uniprotkb:KIAA0534(gene name synonym)	psi-mi:"MI:0030"(cross-linking study)	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-20921902|imex:IM-26653-7625	intact-miscore:0.40
uniprotkb:P06460	uniprotkb:O75882	intact:EBI-11722588	intact:EBI-2115457|uniprotkb:O60295|uniprotkb:O95414|uniprotkb:Q3MIT3|uniprotkb:Q5TDA2|uniprotkb:Q5TDA4|uniprotkb:Q5VYW3|uniprotkb:Q9NTQ3|uniprotkb:Q9NTQ4|uniprotkb:Q9NU01|uniprotkb:Q9NZ57|uniprotkb:Q9NZ58|uniprotkb:Q9UDF5|uniprotkb:A8KAE5|uniprotkb:Q9UC75	psi-mi:ve5a_hpv6b(display_long)	psi-mi:atrn_human(display_long)|uniprotkb:ATRN(gene name)|psi-mi:ATRN(display_short)|uniprotkb:KIAA0548(gene name synonym)|uniprotkb:MGCA(gene name synonym)|uniprotkb:Mahogany homolog(gene name synonym)|uniprotkb:DPPT-L(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	taxid:10600(hpv6b)|taxid:10600(Human papillomavirus type 6b)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT)	intact:EBI-11723082|psi-mi:"MI:0471"|imex:IM-25307-321	intact-miscore:0.35
uniprotkb:Q5VV63	uniprotkb:Q9NRI5	intact:EBI-2682407|uniprotkb:Q6ZSN4|uniprotkb:Q6T256|uniprotkb:Q5JSE8|uniprotkb:Q86WX2|uniprotkb:O60283|uniprotkb:Q5T5Y9	intact:EBI-529989|uniprotkb:Q9BX19|uniprotkb:Q9NRI3|uniprotkb:Q9NRI4|uniprotkb:C9J6D0|uniprotkb:C4P091|uniprotkb:C4P0B6|uniprotkb:C4P0C1|uniprotkb:O75045|uniprotkb:Q5VT44|uniprotkb:Q5VT45|uniprotkb:Q8IXJ0|uniprotkb:Q8IXJ1|uniprotkb:A6NLH2|uniprotkb:C4P095|uniprotkb:C4P0A1|uniprotkb:C4P0A3|uniprotkb:C4P0B3	psi-mi:atrn1_human(display_long)|uniprotkb:ATRNL1(gene name)|psi-mi:ATRNL1(display_short)|uniprotkb:KIAA0534(gene name synonym)	psi-mi:disc1_human(display_long)|uniprotkb:DISC1(gene name)|psi-mi:DISC1(display_short)|uniprotkb:KIAA0457(gene name synonym)	psi-mi:"MI:0399"(two hybrid fragment pooling approach)	Sügis et al. (2019)	pubmed:31413325|imex:IM-26801	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21376983|imex:IM-26801-2509	author score:0.1|intact-miscore:0.37
uniprotkb:Q5VV63	uniprotkb:P06241	intact:EBI-2682407|uniprotkb:Q6ZSN4|uniprotkb:Q6T256|uniprotkb:Q5JSE8|uniprotkb:Q86WX2|uniprotkb:O60283|uniprotkb:Q5T5Y9	intact:EBI-515315|uniprotkb:Q16248|uniprotkb:Q5R3A6|uniprotkb:Q5R3A7|uniprotkb:Q8N5D7|uniprotkb:B5BU57|intact:EBI-2561531|uniprotkb:E1P557|uniprotkb:H0UI48	psi-mi:atrn1_human(display_long)|uniprotkb:ATRNL1(gene name)|psi-mi:ATRNL1(display_short)|uniprotkb:KIAA0534(gene name synonym)	psi-mi:fyn_human(display_long)|uniprotkb:Proto-oncogene Syn(gene name synonym)|uniprotkb:p59-Fyn(gene name synonym)|uniprotkb:Proto-oncogene c-Fyn(gene name synonym)|uniprotkb:Src-like kinase(gene name synonym)|uniprotkb:FYN(gene name)|psi-mi:FYN(display_short)	psi-mi:"MI:0399"(two hybrid fragment pooling approach)	Sügis et al. (2019)	pubmed:31413325|imex:IM-26801	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21376967|imex:IM-26801-1255	author score:0.01|intact-miscore:0.37
uniprotkb:O75882	uniprotkb:Q92905	intact:EBI-2115457|uniprotkb:O60295|uniprotkb:O95414|uniprotkb:Q3MIT3|uniprotkb:Q5TDA2|uniprotkb:Q5TDA4|uniprotkb:Q5VYW3|uniprotkb:Q9NTQ3|uniprotkb:Q9NTQ4|uniprotkb:Q9NU01|uniprotkb:Q9NZ57|uniprotkb:Q9NZ58|uniprotkb:Q9UDF5|uniprotkb:A8KAE5|uniprotkb:Q9UC75	intact:EBI-594661|dip:DIP-34546N|uniprotkb:O15386|uniprotkb:Q6AW95|uniprotkb:Q86WQ4|uniprotkb:Q9BQ17	psi-mi:atrn_human(display_long)|uniprotkb:ATRN(gene name)|psi-mi:ATRN(display_short)|uniprotkb:KIAA0548(gene name synonym)|uniprotkb:MGCA(gene name synonym)|uniprotkb:Mahogany homolog(gene name synonym)|uniprotkb:DPPT-L(gene name synonym)	psi-mi:csn5_human(display_long)|uniprotkb:Jun activation domain-binding protein 1(gene name synonym)|uniprotkb:COPS5(gene name)|psi-mi:COPS5(display_short)|uniprotkb:CSN5(gene name synonym)|uniprotkb:JAB1(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Wang et al. (2008)	pubmed:18624398|imex:IM-19021	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2115511|imex:IM-19021-43	author score:0.59|intact-miscore:0.37
uniprotkb:O75882	uniprotkb:Q0WJ06	intact:EBI-2115457|uniprotkb:O60295|uniprotkb:O95414|uniprotkb:Q3MIT3|uniprotkb:Q5TDA2|uniprotkb:Q5TDA4|uniprotkb:Q5VYW3|uniprotkb:Q9NTQ3|uniprotkb:Q9NTQ4|uniprotkb:Q9NU01|uniprotkb:Q9NZ57|uniprotkb:Q9NZ58|uniprotkb:Q9UDF5|uniprotkb:A8KAE5|uniprotkb:Q9UC75	intact:EBI-2853948|uniprotkb:Q74RP4|uniprotkb:Q7CGH3	psi-mi:atrn_human(display_long)|uniprotkb:ATRN(gene name)|psi-mi:ATRN(display_short)|uniprotkb:KIAA0548(gene name synonym)|uniprotkb:MGCA(gene name synonym)|uniprotkb:Mahogany homolog(gene name synonym)|uniprotkb:DPPT-L(gene name synonym)	psi-mi:q0wj06_yerpe(display_long)|uniprotkb:ADP-ribose phosphohydrolase(gene name synonym)|uniprotkb:ADP-ribose pyrophosphatase(gene name synonym)|uniprotkb:Adenosine diphosphoribose pyrophosphatase(gene name synonym)|uniprotkb:GDP-mannose hydrolase(gene name synonym)|uniprotkb:GDP-mannose pyrophosphatase(gene name synonym)|uniprotkb:GDPMK(gene name synonym)|uniprotkb:YPO0664(locus name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Dyer et al. (2010)	pubmed:20711500|imex:IM-13779	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:632(yerpe)|taxid:632(Yersinia pestis)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2875441|imex:IM-13779-8279	author score:1|intact-miscore:0.37
uniprotkb:O75882	uniprotkb:Q81LA9	intact:EBI-2115457|uniprotkb:O60295|uniprotkb:O95414|uniprotkb:Q3MIT3|uniprotkb:Q5TDA2|uniprotkb:Q5TDA4|uniprotkb:Q5VYW3|uniprotkb:Q9NTQ3|uniprotkb:Q9NTQ4|uniprotkb:Q9NU01|uniprotkb:Q9NZ57|uniprotkb:Q9NZ58|uniprotkb:Q9UDF5|uniprotkb:A8KAE5|uniprotkb:Q9UC75	intact:EBI-2813448|uniprotkb:Q6KM05|uniprotkb:Q6HSR4	psi-mi:atrn_human(display_long)|uniprotkb:ATRN(gene name)|psi-mi:ATRN(display_short)|uniprotkb:KIAA0548(gene name synonym)|uniprotkb:MGCA(gene name synonym)|uniprotkb:Mahogany homolog(gene name synonym)|uniprotkb:DPPT-L(gene name synonym)	psi-mi:rnph_bacan(display_long)|uniprotkb:rph(gene name)|psi-mi:rph(display_short)|uniprotkb:tRNA nucleotidyltransferase(gene name synonym)|uniprotkb:BA_4715(locus name)|uniprotkb:GBAA_4715(locus name)|uniprotkb:BAS4377(locus name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Dyer et al. (2010)	pubmed:20711500|imex:IM-13779	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:1392(bacan)|taxid:1392(Bacillus anthracis)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-2813445|imex:IM-13779-1718	author score:3|intact-miscore:0.37
