#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9Y2D8	uniprotkb:B1AY10	intact:EBI-2212028|uniprotkb:B4DFE3|uniprotkb:J3KR02|uniprotkb:A8K8W0|uniprotkb:D3DT13|uniprotkb:Q6P2P8|uniprotkb:Q6ULS1|uniprotkb:Q7L168|uniprotkb:Q9UIX0|intact:EBI-10964529	intact:EBI-11707102|uniprotkb:Q3U2A7|uniprotkb:Q3UK95|uniprotkb:Q3UMW1|uniprotkb:Q7TPT4|uniprotkb:Q8CC59|uniprotkb:Q9DBC8|uniprotkb:Q9JKW7	psi-mi:adip_human(display_long)|uniprotkb:SSX2IP(gene name)|psi-mi:SSX2IP(display_short)|uniprotkb:KIAA0923(gene name synonym)|uniprotkb:Afadin DIL domain-interacting protein(gene name synonym)|uniprotkb:SSX2-interacting protein(gene name synonym)	psi-mi:nfx1_mouse(display_long)|uniprotkb:Nfx1(gene name)|psi-mi:Nfx1(display_short)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kurtulmus et al. (2016)	pubmed:26675238|imex:IM-25299	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-11695166|imex:IM-25299-9	intact-miscore:0.35
uniprotkb:F4JI72	uniprotkb:Q9SY59	intact:EBI-15192535	intact:EBI-15201298	psi-mi:f4ji72_arath(display_long)|uniprotkb:F4C21.18(orf name)|uniprotkb:F4C21_18(orf name)|uniprotkb:At4g03250(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:1356"(validated two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16385067|imex:IM-25740-20305	intact-miscore:0.49
uniprotkb:Q9LXU1	uniprotkb:Q9SY59	intact:EBI-15193025	intact:EBI-15201298	psi-mi:q9lxu1_arath(display_long)|uniprotkb:PIM1(gene name)|psi-mi:PIM1(display_short)|uniprotkb:T24H18.150(orf name)|uniprotkb:T24H18_150(orf name)|uniprotkb:At5g12980(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:1356"(validated two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16385573|imex:IM-25740-20388	intact-miscore:0.49
uniprotkb:F4IHN4	uniprotkb:Q9SY59	intact:EBI-15215414	intact:EBI-15201298	psi-mi:f4ihn4_arath(display_long)|uniprotkb:T1E2.15(orf name)|uniprotkb:T1E2_15(orf name)|uniprotkb:At2g27930(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:1356"(validated two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16391781|imex:IM-25740-21406	intact-miscore:0.49
uniprotkb:Q9ZW36	uniprotkb:Q9SY59	intact:EBI-15195245	intact:EBI-15201298	psi-mi:c3h25_arath(display_long)|uniprotkb:F16P2.4(orf name)|uniprotkb:At2g29580(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:2277"(Cr-two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15359116|imex:IM-25740-1506	intact-miscore:0.49
uniprotkb:F4JI72	uniprotkb:Q9SY59	intact:EBI-15192535	intact:EBI-15201298	psi-mi:f4ji72_arath(display_long)|uniprotkb:F4C21.18(orf name)|uniprotkb:F4C21_18(orf name)|uniprotkb:At4g03250(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:2277"(Cr-two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15368120|imex:IM-25740-2984	intact-miscore:0.49
uniprotkb:Q9LXU1	uniprotkb:Q9SY59	intact:EBI-15193025	intact:EBI-15201298	psi-mi:q9lxu1_arath(display_long)|uniprotkb:PIM1(gene name)|psi-mi:PIM1(display_short)|uniprotkb:T24H18.150(orf name)|uniprotkb:T24H18_150(orf name)|uniprotkb:At5g12980(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:2277"(Cr-two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15368114|imex:IM-25740-2983	intact-miscore:0.49
uniprotkb:F4IHN4	uniprotkb:Q9SY59	intact:EBI-15215414	intact:EBI-15201298	psi-mi:f4ihn4_arath(display_long)|uniprotkb:T1E2.15(orf name)|uniprotkb:T1E2_15(orf name)|uniprotkb:At2g27930(locus name)	psi-mi:nfxl1_arath(display_long)|uniprotkb:NFXL1(gene name)|psi-mi:NFXL1(display_short)|uniprotkb:F14N23.5(orf name)|uniprotkb:At1g10170(locus name)	psi-mi:"MI:2277"(Cr-two hybrid)	Trigg et al. (2017)	doi:10.1038/nmeth.4343|pubmed:28650476|imex:IM-25740	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	taxid:3702(arath)|taxid:3702("Arabidopsis thaliana (Mouse-ear cress)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-15378636|imex:IM-25740-4715	intact-miscore:0.49
uniprotkb:Q9VQS6	uniprotkb:P40798	intact:EBI-192073|uniprotkb:Q8SZH7|uniprotkb:A4V041|uniprotkb:Q49UC1	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:drm_drome(display_long)|uniprotkb:drm(gene name)|psi-mi:drm(display_short)|uniprotkb:CG10016(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0397"(two hybrid array)	Shokri et al. (2019)	doi:10.1016/j.celrep.2019.03.071|pubmed:30995488|imex:IM-27390	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-22069574|imex:IM-27390-3481	intact-miscore:0.37
uniprotkb:P03372	uniprotkb:Q12986	intact:EBI-78473|uniprotkb:Q5T5H7|uniprotkb:Q6MZQ9|uniprotkb:Q13511|uniprotkb:Q14276|uniprotkb:Q9NU51|uniprotkb:Q9UDZ7|uniprotkb:Q9UIS7	intact:EBI-2130062|uniprotkb:A8K6H8|uniprotkb:Q5VXW6|uniprotkb:Q96EL5|uniprotkb:Q9BXI1	psi-mi:esr1_human(display_long)|uniprotkb:ESR1(gene name)|psi-mi:ESR1(display_short)|uniprotkb:ESR(gene name synonym)|uniprotkb:NR3A1(gene name synonym)|uniprotkb:Estradiol receptor(gene name synonym)|uniprotkb:ER-alpha(gene name synonym)|uniprotkb:Nuclear receptor subfamily 3 group A member 1(gene name synonym)	psi-mi:nfx1_human(display_long)|uniprotkb:NFX2(gene name synonym)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)|uniprotkb:NFX1(gene name)|psi-mi:NFX1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Nassa et al. (2019)	pubmed:31527615|imex:IM-26954	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21301141|imex:IM-26954-1	intact-miscore:0.35
uniprotkb:P03372	uniprotkb:Q12986	intact:EBI-78473|uniprotkb:Q5T5H7|uniprotkb:Q6MZQ9|uniprotkb:Q13511|uniprotkb:Q14276|uniprotkb:Q9NU51|uniprotkb:Q9UDZ7|uniprotkb:Q9UIS7	intact:EBI-2130062|uniprotkb:A8K6H8|uniprotkb:Q5VXW6|uniprotkb:Q96EL5|uniprotkb:Q9BXI1	psi-mi:esr1_human(display_long)|uniprotkb:ESR1(gene name)|psi-mi:ESR1(display_short)|uniprotkb:ESR(gene name synonym)|uniprotkb:NR3A1(gene name synonym)|uniprotkb:Estradiol receptor(gene name synonym)|uniprotkb:ER-alpha(gene name synonym)|uniprotkb:Nuclear receptor subfamily 3 group A member 1(gene name synonym)	psi-mi:nfx1_human(display_long)|uniprotkb:NFX2(gene name synonym)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)|uniprotkb:NFX1(gene name)|psi-mi:NFX1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Nassa et al. (2019)	pubmed:31527615|imex:IM-26954	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21302175|imex:IM-26954-3	intact-miscore:0.35
