#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:O60602	uniprotkb:C3PTT6	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-3505892	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:c3ptt6_human(display_long)|uniprotkb:PAUF(gene name)|psi-mi:PAUF(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Park et al. (2011)	pubmed:20802527|imex:IM-15762	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1262"(I2D)	intact:EBI-3505977|imex:IM-15762-5	intact-miscore:0.40
uniprotkb:Q9JLF7	uniprotkb:A0A0H3NMJ6	intact:EBI-6548397	intact:EBI-6548383	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:a0a0h3nmj6_salts(display_long)|uniprotkb:fliC(gene name)|psi-mi:fliC(display_short)|uniprotkb:SL1344_1888(locus name)	psi-mi:"MI:0096"(pull down)	Mathur et al. (2012)	pubmed:23101627|imex:IM-18684	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:216597(salts)|taxid:216597("Salmonella typhimurium (strain SL1344)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6548382|imex:IM-18684-1	intact-miscore:0.50
uniprotkb:Q9JLF7	uniprotkb:P35329	intact:EBI-6548397	intact:EBI-300059|uniprotkb:Q9JHL2|uniprotkb:Q9JJX9|uniprotkb:Q9JJY0|uniprotkb:Q9JJY1|uniprotkb:Q9R056|uniprotkb:Q9R094|uniprotkb:Q9WU51	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:cd22_mouse(display_long)|uniprotkb:Siglec2(gene name synonym)|uniprotkb:Cd22(gene name)|psi-mi:Cd22(display_short)|uniprotkb:Lyb-8(gene name synonym)|uniprotkb:Sialic acid-binding Ig-like lectin 2(gene name synonym)|uniprotkb:T-cell surface antigen Leu-14(gene name synonym)|uniprotkb:B-lymphocyte cell adhesion molecule(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16826063|imex:IM-26349-13	intact-miscore:0.40
uniprotkb:Q9JLF7	uniprotkb:Q63994-1	intact:EBI-6548397	intact:EBI-16826689	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:q63994-1(display_long)|uniprotkb:Cd33(gene name)|psi-mi:Cd33(display_short)|uniprotkb:Siglec3(gene name synonym)|uniprotkb:Sialic acid-binding Ig-like lectin 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16826328|imex:IM-26349-71	intact-miscore:0.40
uniprotkb:Q9JLF7	uniprotkb:Q920G3	intact:EBI-6548397	intact:EBI-16826559	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:sigl5_mouse(display_long)|uniprotkb:Siglec5(gene name)|psi-mi:Siglec5(display_short)|uniprotkb:Siglecf(gene name synonym)|uniprotkb:Sialic acid-binding Ig-like lectin F(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16826591|imex:IM-26349-77	intact-miscore:0.40
uniprotkb:O60602	uniprotkb:O60602	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0370"(tox-r dimerization assay)	Godfroy et al. (2011)	imex:IM-26356|pubmed:23155421	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16877605|imex:IM-26356-21	intact-miscore:0.37
uniprotkb:O60602	uniprotkb:Q9Y5W7-2	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-21509870	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:q9y5w72(display_long)|uniprotkb:SNX14(gene name)|psi-mi:SNX14(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:Q9Y3E5	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-1056751|uniprotkb:B3KUY4|uniprotkb:Q9NTE5	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:pth2_human(display_long)|uniprotkb:Bcl-2 inhibitor of transcription 1(gene name synonym)|uniprotkb:PTRH2(gene name)|psi-mi:PTRH2(display_short)|uniprotkb:BIT1(gene name synonym)|uniprotkb:PTH2(gene name synonym)|uniprotkb:CGI-147(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:Q9Y394-2	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-21510882	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:q9y3942(display_long)|uniprotkb:DHRS7(gene name)|psi-mi:DHRS7(display_short)|uniprotkb:DHRS7A(gene name synonym)|uniprotkb:RETSDR4(gene name synonym)|uniprotkb:SDR34C1(gene name synonym)|uniprotkb:CGI-86(orf name)|uniprotkb:UNQ285/PRO3448(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:Q9Y320-2	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-21505480	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:q9y320-2(display_long)|uniprotkb:TMX2(gene name)|psi-mi:TMX2(display_short)|uniprotkb:TXNDC14(gene name synonym)|uniprotkb:Cell proliferation-inducing gene 26 protein(gene name synonym)|uniprotkb:Thioredoxin domain-containing protein 14(gene name synonym)|uniprotkb:CGI-31(orf name)|uniprotkb:My009(orf name)|uniprotkb:PIG26(orf name)|uniprotkb:PSEC0045(orf name)|uniprotkb:UNQ237/PRO270(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
uniprotkb:O60602	uniprotkb:Q9BT09	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-2835965|uniprotkb:Q8NF54|uniprotkb:Q0P6I2|uniprotkb:Q9P0F2|uniprotkb:Q8WTU8|uniprotkb:O15412	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:cnpy3_human(display_long)|uniprotkb:CNPY3(gene name)|psi-mi:CNPY3(display_short)|uniprotkb:CTG4A(gene name synonym)|uniprotkb:ERDA5(gene name synonym)|uniprotkb:PRAT4A(gene name synonym)|uniprotkb:TNRC5(gene name synonym)|uniprotkb:CTG repeat protein 4a(gene name synonym)|uniprotkb:Expanded repeat-domain protein CAG/CTG 5(gene name synonym)|uniprotkb:Protein associated with TLR4(gene name synonym)|uniprotkb:Trinucleotide repeat-containing gene 5 protein(gene name synonym)|uniprotkb:HSPC084(orf name)|uniprotkb:UNQ1934/PRO4409(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21773313|imex:IM-25778-4351	intact-miscore:0.35
