Entry	Protein names	Gene names	Organism	yourlist:M202009295C475328CEF75220C360D524E9D456CE4ACE54C	Entry name	Function [CC]	Status	Interacts with	Induction	Tissue specificity	Gene ontology (molecular function)	Gene ontology (biological process)	Subcellular location [CC]
Q6IV18	Gallinacin-13 (Gal-13) (Beta-defensin 13) (Gallinacin-11) (Gal-11)	GAL13	Gallus gallus (Chicken)		GLL13_CHICK	FUNCTION: Has bactericidal activity. Potent activity against E.coli, L.monocytogenes, S.typhimurium and S.pyogenes but mot against S.aureus. {ECO:0000269|PubMed:15744537}.; FUNCTION: Has bactericidal activity. {ECO:0000250}.	reviewed			TISSUE SPECIFICITY: Expressed in the liver, gall bladder, kidney, small intestine, spleen, testis, ovary and male and female reproductive tracts. Not detected in the ovarian stroma and the theca and granulosa layers of the ovarian follicle. {ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:15744537, ECO:0000269|PubMed:17244739}.		defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
A0A1I7Q434	Beta-defensin	AvBD12	Gallus gallus (Chicken)		A0A1I7Q434_CHICK	FUNCTION: Has antibacterial activity. {ECO:0000256|RuleBase:RU231113}.	unreviewed					defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]	SUBCELLULAR LOCATION: Secreted {ECO:0000256|RuleBase:RU231113}.
Q6IV20	Gallinacin-11 (Gal-11) (Beta-defensin 11) (Vitelline membrane outer layer protein 2) (Vitelline membrane outer layer protein II) (VMO-II) (VMOII)	GAL11	Gallus gallus (Chicken)		GLL11_CHICK	FUNCTION: Has bactericidal activity. {ECO:0000250}.	reviewed			TISSUE SPECIFICITY: Detected in outer membrane of the vitelline layer of the egg (at protein level). Expressed in the liver, gall bladder, kidney, testis, ovary and male and female reproductive tracts. Expressed in the ovarian stroma, but not in the ovarian follicles. No expression is detected in bone marrow. {ECO:0000269|PubMed:1520265, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17244739}.		defense response to bacterium [GO:0042742]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
Q6QLQ9	Gallinacin-10 (Gal-10) (Beta-defensin 10) (Gallinacin-8) (Gal-8)	GAL10	Gallus gallus (Chicken)		GLL10_CHICK	FUNCTION: Has bactericidal activity. {ECO:0000250}.	reviewed		INDUCTION: Expression in the theca and granulosa layers of the F3 stage ovarian follicle is not affected by intravenous injection of LPS. {ECO:0000269|PubMed:17244739}.	TISSUE SPECIFICITY: Strong expression in the testis, liver, gall bladder and kidney. Also expressed in the ovary and male and female reproductive tracts. Expressed in the ovarian stroma and the theca and granulosa layers of the ovarian follicle. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17244739}.		defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
Q6QLR1	Gallinacin-9 (Gal-9) (Beta-defensin 9) (Gallinacin-6) (Gal-6)	GAL9	Gallus gallus (Chicken)		GLL9_CHICK	FUNCTION: Has bactericidal activity. Potent activity against C.jejuni, C.perfringens, S.aureus, C.albicans and S.cerevisiae. Less potent against S.typhimurium and E.coli. {ECO:0000269|PubMed:17194828}.	reviewed			TISSUE SPECIFICITY: Strong expression in the testis, liver, gall bladder, kidney, esophagus and crop. Also expressed in the glandular stomach, ovary and male and female reproductive tracts. Low expression in the intestinal tract. Expressed in the ovarian stroma, but not in the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17194828, ECO:0000269|PubMed:17244739}.	CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; defense response to Gram-negative bacterium [GO:0050829]; killing of cells of other organism [GO:0031640]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
A0A140T8H7	Uncharacterized protein	AvBD8	Gallus gallus (Chicken)		A0A140T8H7_CHICK		unreviewed				CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]	
Q6QLR2	Gallinacin-7 (Gal 7) (Beta-defensin 7) (Gallinacin-5) (Gal-5)	GAL7	Gallus gallus (Chicken)		GLL7_CHICK	FUNCTION: Has bactericidal activity. {ECO:0000250}.	reviewed		INDUCTION: Induced in the theca layer of the F3 stage ovarian follicle by intravenous injection of LPS. Expression in the kidney and liver is not affected by intravenous injection of LPS. {ECO:0000269|PubMed:17244739}.	TISSUE SPECIFICITY: Strong expression in the bone marrow and testis. Expressed in the ovarian stroma and the theca layer of the ovarian follicles. Not expressed in the granulosa layer of the ovarian follicles. {ECO:0000269|PubMed:15148642, ECO:0000269|PubMed:15310403, ECO:0000269|PubMed:17244739}.	CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]	SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule {ECO:0000250}.
A0A140T8H4	Uncharacterized protein	DEFB4A	Gallus gallus (Chicken)		A0A140T8H4_CHICK		unreviewed				CCR6 chemokine receptor binding [GO:0031731]; chemoattractant activity [GO:0042056]	cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; defense response to bacterium [GO:0042742]	
A0A3Q2TYD8	Uncharacterized protein	AvBD1	Gallus gallus (Chicken)		A0A3Q2TYD8_CHICK		unreviewed						
A0A3Q2UNA1	Uncharacterized protein	AvBD1	Gallus gallus (Chicken)		A0A3Q2UNA1_CHICK		unreviewed						
